ID,Category,Language,Genre,Genre2,Pubdate,Author_Last,Author_First,Author_First_Reviewed,Author_Last_Reviewed,Work_Title,Translation,PubHouse,Prize,WinnerShortlist,Author_Gender,Author_Nationality,token_count,total_characters,protagonist_concentration,avg_sentence_length,avg_word_length,tuldava_score,event_count,speed_avg,circuitousness,speed_min,volume,goodreads_avg,total_ratings,goodreads_URL,Probability1P
[Heist Society 2] Uncommon Criminals - Ally Carter.txt,FIC,English,YA,,2011,Carter,Ally,Ally,Carter,UncommonCriminals,,,,,F,,80392,34,0.3429017161,14.10633444,4.129570587,3.310711758,4796,-2.4068,0.17579,-2.5826,-3.0142,4.13,42102,https://www.goodreads.com/search?q=Ally+Carter+Uncommon+Criminals,0
"2001_2011_Wilson,RobertCharles_TheChronoliths_SF.txt",FIC,English,SF,,2001,Wilson,RobertCharles,Robert Charles,Wilson,TheChronoliths,,,,,M,US/Canada,103230,34,0.1503325942,15.35018587,4.309160527,3.704009131,4039,-2.2599,0.23048,-2.4904,-2.9521,3.67,5136,https://www.goodreads.com/search?q=+The+Chronoliths,1
"2001_Martel,Yann_LifeofPi_BS.txt",FIC,English,BS,,2001,Yann,Martel,Martel,Yann,LifeofPi,,,,,M,Spain/Canada,124445,27,0.2757201646,13.90291588,4.17421682,3.460663516,5129,-2.1545,0.15124,-2.3057,-2.83,3.93,1480498,https://www.goodreads.com/search?q=+Lifeof+Pi,1
"2002_2011_Anderson,MT_Feed_SF.txt",FIC,English,SF,YA,2002,Anderson,MT,MT,Anderson,Feed,,,,,M,US,67075,14,0.2830985915,12.1490672,3.889661036,2.90921221,3479,-2.3438,0.13506,-2.4788,-2.8989,3.56,61346,https://www.goodreads.com/search?q=MT+Anderson+Feed,1
"2002_Baker,Jo_Offcomer_CT.txt",FIC,English,NYT,,2002,Baker,Jo,Jo,Baker,Offcomer,,,,,F,UK,88042,24,0.4313583815,12.63700301,4.226161148,3.183173149,6314,-2.1152,0.26496,-2.3801,-2.8866,2.58,145,https://www.goodreads.com/search?q=Jo+Baker+Offcomer,0
"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt",FIC,English,BS,,2002,SueMonk,Kidd,Sue Monk,Kidd,TheSecretLifeofBees,,,,,F,US,114053,45,0.1642512077,15.93364068,3.975255078,3.398069579,7204,-2.3821,0.19713,-2.5792,-3.0648,4.07,1203836,https://www.goodreads.com/search?q=+The+Secret+Lifeof+Bees,1
"2002_Sebold,Alice_LovelyBones_BS.txt",FIC,English,BS,,2002,Alice,Sebold,Alice,Sebold,LovelyBones,,,,,F,US,118470,48,0.1983935743,16.34745412,4.102430815,3.570598412,6884,-2.3458,0.20992,-2.5557,-3.0493,3.83,2185111,https://www.goodreads.com/search?q=Sebold+Alice+Lovely+Bones,1
"2003_Hosseini,Khaled_TheKiteRunner_BS.txt",FIC,English,BS,,2003,Khaled,Hosseini,Khaled,Hosseini,TheKiteRunner,,,,,M,Afghanistan/US,133511,65,0.2069510269,13.91174325,4.071338675,3.286319258,8770,-2.2408,0.20092,-2.4417,-2.9666,4.32,2765961,https://www.goodreads.com/search?q=Hosseini+Khaled+The+Kite+Runner,1
"2003_Landay,William_MissionFlats_MY.txt",FIC,English,MY,,2003,Landay,William,William,Landay,MissionFlats,,,,,M,US,150447,66,0.1104218362,12.47280716,4.098436836,3.141344759,6061,-2.1397,0.26245,-2.4021,-2.9433,3.56,4517,https://www.goodreads.com/search?q=William+Landay+Mission+Flats,1
"2003_Low,Gennita_IntoDanger_ROM.txt",FIC,English,ROM,,2003,Low,Gennita,Gennita,Low,IntoDanger,,,,,F,US,152074,34,0.2742374728,12.94797786,4.189074732,3.329391064,9268,-2.3083,0.2437,-2.552,-3.0897,4.02,602,https://www.goodreads.com/search?q=Gennita+Low+Into+Danger,0
"2004_Mitchell,David_CloudAtlas_BS.txt",FIC,English,BS,,2004,David,Mitchell,David,Mitchell,CloudAtlas,,,,,M,UK,205995,171,0.0819710969,15.53155395,4.349094073,3.657667112,9072,-2.2454,0.17764,-2.4231,-2.9738,4,234149,https://www.goodreads.com/search?q=Mitchell+David+Cloud+Atlas,1
"2004_Picoult,Jodi_MySistersKeeper_BS.txt",FIC,English,BS,,2004,Jodi,Picoult,Jodi,Picoult,MySistersKeeper,,,,,F,US,162966,44,0.2913030394,14.92909491,3.961208577,3.286374299,7393,-2.3783,0.20985,-2.5881,-3.1141,4.09,1134505,https://www.goodreads.com/search?q=Picoult+Jodi+My+Sisters+Keeper,1
"2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt",NON,English,HIST,,2004,Weatherford,Jack,Jack,Weatherford,GenghisKhanandtheMakingoftheModernWorld,,,,,M,US,129875,70,0.3096306524,29.12648576,4.793154391,5.377591086,2223,-2.2094,0.12911,-2.3385,-2.8735,4.01,65199,https://www.goodreads.com/search?q=+Genghis+Khanandthe+Makingofthe+Modern+World,0
"2005_Banville,John_TheSea_PW.txt",FIC,English,PW,,2005,Banville,John,John,Banville,TheSea,,Picador,TheManBookerPrize,Winner,M,Ireland,71985,22,0.1774891775,25.23133544,4.215528953,4.399526537,3199,-2.3649,0.16614,-2.5311,-2.9601,3.53,29397,https://www.goodreads.com/search?q=John+Banville+The+Sea,1
"2005_Barfoot,Joan_Luck_PW.txt",FIC,English,PW,,2005,Barfoot,Joan,Joan,Barfoot,Luck,,AlfredA.Knopf,ScotiabankGillerPrize,Shortlist,F,Canada,110692,16,0.2715105163,17.52287478,4.306930909,3.871714273,2435,-2.3332,0.21618,-2.5494,-3.0285,3.17,426,https://www.goodreads.com/search?q=Joan+Barfoot+Luck,0
"2005_Barnes,Julian_ArthurGeorge_PW.txt",FIC,English,PW,,2005,Barnes,Julian,Julian,Barnes,ArthurGeorge,,Cape,TheManBookerPrize,Shortlist,M,UK,189235,104,0.2062238737,16.81042907,4.388370415,3.939593202,4921,-2.2639,0.21028,-2.4742,-3.0739,3.72,17242,https://www.goodreads.com/search?q=Julian+Barnes+Arthur+George,0
"2005_Barry,Sebastian_LongLongWay_PW.txt",FIC,English,PW,,2005,Barry,Sebastian,Sebastian,Barry,LongLongWay,,Faber&Faber,TheManBookerPrize,Shortlist,M,Ireland,111327,49,0.3937238494,18.63525276,4.144570181,3.803965459,4445,-2.2828,0.26358,-2.5464,-3.055,4.11,7083,https://www.goodreads.com/search?q=Sebastian+Barry+Long+Long+Way,0
"2005_Bergen,David_TheTimeinBetween_PW.txt",FIC,English,PW,,2005,Bergen,David,David,Bergen,TheTimeinBetween,,McClelland&Stewart,ScotiabankGillerPrize,Winner,M,Canada,93948,40,0.2259446825,14.05775849,4.03058464,3.322901527,8065,-2.3158,0.19174,-2.5075,-2.982,4.15,36289,https://www.goodreads.com/search?q=+The+Timein+Between,0
"2005_Boyden,Joseph_ThreeDayRoad_PW.txt",FIC,English,PW,,2005,Boyden,Joseph,Joseph,Boyden,ThreeDayRoad,,Viking,GovernorGeneralLiteraryAwardforfiction,Shortlist,M,Canada,161776,38,0.4962913014,15.53447283,3.972856597,3.440158567,10967,-2.259,0.23701,-2.496,-3.0935,4.29,22954,https://www.goodreads.com/search?q=Joseph+Boyden+Three+Day+Road,1
"2005_Coffey,Wayne_TheBoysofWinter_NF.txt",NON,English,MIX,,2005,Coffey,Wayne,Wayne,Coffey,TheBoysofWinter,,,,,M,,89806,104,0.1378653113,21.38238095,4.376386464,4.224335435,2940,-2.3016,0.20239,-2.504,-2.9457,4.22,3408,https://www.goodreads.com/search?q=+The+Boysof+Winter,0
"2005_Connelly,Michael_TheLincolnLawyer_BS.txt",FIC,English,BS,,2005,Michael,Connelly,Connelly,Michael,TheLincolnLawyer,,,,,M,US,167147,74,0.0998080614,13.14462095,3.986345039,3.20573683,8168,-2.1984,0.32957,-2.5279,-3.1064,4.18,212114,https://www.goodreads.com/search?q=Connelly+Michael+The+Lincoln+Lawyer,1
"2005_Danticat,Edwidge_DewBreaker_PW.txt",FIC,English,PW,,2005,Danticat,Edwidge,Edwidge,Danticat,DewBreaker,,AlfredA.Knopf,PEN/FaulknerAwardforFiction,Shortlist,F,Haiti/US,75925,43,0.0769230769,20.23048228,4.205782756,4.018538116,3612,-2.3327,0.091801,-2.4245,-2.8527,3.82,7264,https://www.goodreads.com/search?q=Edwidge+Danticat+Dew+Breaker,1
"2005_Dicker,John_UnitedStatesofWal-Mart_NF.txt",NON,English,MIX,,2005,Dicker,John,John,Dicker,UnitedStatesofWalMart,,,,,M,,70260,22,0.343373494,25.88798821,4.633748005,4.853959881,391,-2.319,0.080537,-2.3995,-2.7854,3,53,https://www.goodreads.com/search?q=+United+Statesof+Wal+Mart,0
"2005_Doctorow,EL_TheMarch_PW.txt",FIC,English,PW,,2005,Doctorow,EL,EL,Doctorow,TheMarch,,RandomHouse,TheNationalBookAwards,Shortlist,M,US,123588,74,0.070610687,17.46086465,4.239456368,3.881550993,6941,-2.2755,0.2411,-2.5166,-3.0369,3.73,13752,https://www.goodreads.com/search?q=EL+Doctorow+The+March,1
"2005_Fried,Golda_Nellcott_PW.txt",FIC,English,PW,,2005,Fried,Golda,Golda,Fried,Nellcott,,CoachHouseBooks,GovernorGeneralLiteraryAwardforfiction,Shortlist,F,Canada,47208,17,0.4127795527,12.53864542,4.091319821,3.19574779,2583,-2.4282,0.16585,-2.5941,-2.9543,3.66,110,https://www.goodreads.com/search?q=Golda+Fried+Nellcott,0
"2005_Gaitskill,Mary_Veronica_PW.txt",FIC,English,PW,,2005,Gaitskill,Mary,Mary,Gaitskill,Veronica,,Pantheon,TheNationalBookAwards,Shortlist,F,US,95256,46,0.2391713748,14.7,4.053175353,3.397491994,5825,-2.4164,0.14338,-2.5598,-3.0127,3.4,5576,https://www.goodreads.com/search?q=Mary+Gaitskill+Veronica,1
"2005_Gardner,Lisa_Alone_BS.txt",FIC,English,BS,,2005,Lisa,Gardner,Gardner,Lisa,Alone,,,,,F,US,133233,50,0.2276989017,12.23218876,4.217592334,3.207247617,6911,-2.1546,0.28657,-2.4412,-2.9514,3.97,60106,https://www.goodreads.com/search?q=Gardner+Lisa+Alone,0
"2005_Gibb,Camilla_SweetnessintheBelly_PW.txt",FIC,English,PW,,2005,Gibb,Camilla,Camilla,Gibb,SweetnessintheBelly,,Doubleday,ScotiabankGillerPrize,Shortlist,F,Canada,107408,52,0.1140018921,16.37816407,4.271869933,3.779460915,5285,-2.2324,0.2283,-2.4608,-2.9421,3.91,8912,https://www.goodreads.com/search?q=+Sweetnessinthe+Belly,1
"2005_Giffin,Emily_SomethingBorrowed_BS.txt",FIC,English,BS,,2005,Emily,Giffin,Giffin,Emily,SomethingBorrowed,,,,,F,US,141991,49,0.20938872,12.47285664,3.984808167,3.061578797,6906,-2.3377,0.20341,-2.5411,-3.0494,3.87,541409,https://www.goodreads.com/search?q=Giffin+Emily+Something+Borrowed,1
"2005_Gill,Charlotte_Ladykiller_PW.txt",FIC,English,PW,,2005,Gill,Charlotte,Charlotte,Gill,Ladykiller,,ThomasAllen,GovernorGeneralLiteraryAwardforfiction,Shortlist,F,Canada,73143,23,0.1157446809,11.7574345,4.198251629,3.165135211,4445,-2.3803,0.11784,-2.4981,-2.8874,3.49,81,https://www.goodreads.com/search?q=Charlotte+Gill+Ladykiller,0
"2005_Gladwell,Malcom_Blink_NF.txt",NON,English,MIX,,2005,Gladwell,Malcom,Malcom,Gladwell,Blink,,,,,M,,100048,77,0.0450516987,19.51775263,4.421567952,4.259432477,1863,-2.1877,0.10836,-2.2961,-2.7195,4.15,339,https://www.goodreads.com/search?q=Malcom+Gladwell+Blink,0.08
"2005_Ishiguro,Kazuo_NeverLetMeGo_PW.txt",FIC,English,PW,,2005,Ishiguro,Kazuo,Kazuo,Ishiguro,NeverLetMeGo,,Faber&Faber,TheManBookerPrize,Shortlist,M,UK,117523,28,0.288372093,19.56108522,3.968101457,3.732401777,4784,-2.3666,0.24997,-2.6166,-3.1221,3.84,570026,https://www.goodreads.com/search?q=Kazuo+Ishiguro+Never+Let+Me+Go,1
"2005_Jin,Ha_WarTrash_PW.txt",FIC,English,PW,,2005,Jin,Ha,Ha,Jin,WarTrash,,Pantheon,PEN/FaulknerAwardforFiction,Winner,M,US,154627,70,0.1115384615,17.82649297,4.304909735,3.962909401,7120,-2.2225,0.22027,-2.4428,-3.0301,3.79,3592,https://www.goodreads.com/search?q=Ha+Jin+War+Trash,1
"2005_Johnson,Craig_TheColdDish_MY.txt",FIC,English,MY,,2005,Johnson,Craig,Craig,Johnson,TheColdDish,,,,,M,US,163863,56,0.1558715113,15.38764203,4.054270273,3.449418892,9455,-2.3674,0.20693,-2.5744,-3.1191,4.11,35737,https://www.goodreads.com/search?q=Craig+Johnson+The+Cold+Dish,1
"2005_Kramer,PeterD_AgainstDepression_NF.txt",NON,English,MIX,,2005,Kramer,PeterD,PeterD,Kramer,AgainstDepression,,,,,M,,113086,52,0.1212704524,19.14116452,4.991084056,4.896072422,538,-2.2009,0.15788,-2.3588,-2.8206,4.03,1242,https://www.goodreads.com/search?q=+Against+Depression,1
"2005_Larsson,Stieg_TheGirlWithTheDragonTattoo_BS.txt",FIC,English,BS,,2005,Stieg,Larsson,Larsson,Stieg,TheGirlWithTheDragonTattoo,Swedish,,,,M,Sweden,198905,82,0.2295428352,15.10059217,4.320398931,3.72554679,8463,-2.1332,0.29562,-2.4288,-3.091,4.15,2902254,https://www.goodreads.com/search?q=Larsson+Stieg+The+Girl+With+The+Dragon+Tattoo,0
"2005_Moore,Lisa_Alligator_PW.txt",FIC,English,PW,,2005,Moore,Lisa,Lisa,Moore,Alligator,,HouseofAnansiPress,ScotiabankGillerPrize,Shortlist,F,Canada,96001,39,0.1880165289,17.59871677,4.177462176,3.826002856,6339,-2.3069,0.16469,-2.4716,-2.9335,3.3,1623,https://www.goodreads.com/search?q=Lisa+Moore+Alligator,0
"2005_Pate,Kathy_Alphabet_PW.txt",FIC,English,PW,,2005,Page,Kathy,Kathy,Page,Alphabet,,McArthur&Co.,GovernorGeneralLiteraryAwardforfiction,Shortlist,F,UK/Canada,121227,56,0.3214462605,16.36212714,3.992679783,3.45224717,5054,-2.3754,0.25787,-2.6332,-3.1089,3.58,236,https://www.goodreads.com/search?q=Kathy+Page+Alphabet,0
"2005_Perl,Jed_NewArtCity_NF.txt",NON,English,MIX,,2005,Perl,Jed,Jed,Perl,NewArtCity,,,,,M,,244294,255,0.0427203886,31.01358385,4.698218589,5.238059292,2185,-2.3916,0.12635,-2.518,-3.1475,3.94,157,https://www.goodreads.com/search?q=Jed+Perl+New+Art+City,0
"2005_Ravel,Edeet_WallofLight_PW.txt",FIC,English,PW,,2005,Ravel,Edeet,Edeet,Ravel,WallofLight,,RandomHouse,ScotiabankGillerPrize,Shortlist,F,Canada,89479,35,0.0922946655,16.68761656,4.05365086,3.643531127,3271,-2.2254,0.29478,-2.5202,-3.0079,3.5,286,https://www.goodreads.com/search?q=+Wallof+Light,1
"2005_SafranFoer,Jonathan_ExtremelyLoudandIncrediblyClose_BS.txt",FIC,English,BS,,2005,Jonathan,SafranFoer,SafranFoer,Jonathan,ExtremelyLoudandIncrediblyClose,,,,,M,US,118077,26,0.191283293,14.21757977,3.792181818,2.964665919,5284,-1.8478,0.13699,-1.9848,-2.8924,3.97,403132,https://www.goodreads.com/search?q=+Extremely+Loudand+Incredibly+Close,1
"2005_Savan,Leslie_SlamDunks_NF.txt",NON,English,MIX,,2005,Savan,Leslie,Leslie,Savan,SlamDunks,,,,,F,,121883,64,0.0935023772,24.43034676,4.523586514,4.575480649,943,-2.2442,0.090013,-2.3342,-2.7629,3.18,39,https://www.goodreads.com/search?q=Leslie+Savan+Slam+Dunks,0.08
"2005_Sorrentino,Christopher_Trance_PW.txt",FIC,English,PW,,2005,Sorrentino,Christopher,Christopher,Sorrentino,Trance,,Douglas&McIntyre,TheNationalBookAwards,Shortlist,M,US,224238,92,0.1667030329,16.21153846,4.360652006,3.801349233,8669,-2.1921,0.25226,-2.4443,-3.0761,3.49,176,https://www.goodreads.com/search?q=Christopher+Sorrentino+Trance,0
"2005_Steinke,Rene_HolySkirts_PW.txt",FIC,English,PW,,2005,Steinke,Rene,Rene,Steinke,HolySkirts,,WilliamMorrow,TheNationalBookAwards,Shortlist,F,US,154608,54,0.3103448276,17.20160214,4.204594858,3.738372436,8395,-2.405,0.20689,-2.6119,-3.1399,3.63,421,https://www.goodreads.com/search?q=Rene+Steinke+Holy+Skirts,0
"2005_Tripp,CA_IntimateWorldofAbraham_NF.txt",NON,English,MIX,,2005,Trip,CA,CA,Trip,IntimateWorldofAbraham,,,,,M,,136633,108,0.2126360499,29.15148282,4.552858314,5.043282389,2622,-2.2786,0.13718,-2.4158,-2.9447,3.3,116,https://www.goodreads.com/search?q=+Intimate+Worldof+Abraham,0.8
"2005_Vollmann,WilliamT_EuropeCentral_PW.txt",FIC,English,PW,,2005,Vollmann,WilliamT,William T,Vollmann,EuropeCentral,,Viking,TheNationalBookAwards,Winner,M,US,416807,284,0.0539577501,19.96871557,4.515838557,4.220468602,12551,-2.3415,0.19809,-2.5396,-3.4032,3.93,2619,https://www.goodreads.com/search?q=+Europe+Central,1
"2005_Walls,Jeannette_GlassCastle_NF.txt",NON,English,MIX,,2005,Walls,Jeanette,Jeanette,Walls,GlassCastle,,,,,F,,119794,46,0.3101285669,17.61935579,4.039120138,3.61892231,6048,-2.2552,0.18115,-2.4363,-2.9268,5,1,https://www.goodreads.com/search?q=Jeanette+Walls+Glass+Castle,1
"2005_Warren,LouisS_BuffaloBillsAmerica_NF.txt",NON,English,MIX,,2005,Warren,LouisS,LouisS,Warren,BuffaloBillsAmerica,,,,,M,,286813,176,0.3062741175,28.36362737,4.795476629,5.210998699,3640,-2.2254,0.14158,-2.3669,-3.0955,3.75,758,https://www.goodreads.com/search?q=+Buffalo+Bills+America,0
"2005_Yarbrough,Steve_PrisonersofWar_PW.txt",FIC,English,PW,,2005,Yarbrough,Steve,Steve,Yarbrough,PrisonersofWar,,AlfredA.Knopf,PEN/FaulknerAwardforFiction,Shortlist,M,US,90987,43,0.1827441582,17.98873072,4.077434184,3.628314961,4098,-2.3328,0.23439,-2.5672,-3.0067,4.03,3328,https://www.goodreads.com/search?q=+Prisonersof+War,0
"2006_Behrens,Peter_LawofDreams_PW.txt",FIC,English,PW,,2006,Behrens,Peter,Peter,Behrens,LawofDreams,,HouseofAnansiPress,GovernorGeneralLiteraryAwardforfiction,Winner,M,Canada,140456,51,0.3271687962,12.62979948,4.184527629,3.131489056,9751,-2.2222,0.21039,-2.4326,-2.9389,3,83,https://www.goodreads.com/search?q=+Lawof+Dreams,0
"2006_Brooks,Max_WorldWarZ_BS.txt",FIC,English,BS,,2006,Max,Brooks,Brooks,Max,WorldWarZ,,,,,M,US,141370,34,0.1441860465,16.67492333,4.305675629,3.840824313,3749,-2.2774,0.17333,-2.4507,-2.9543,4.01,483051,https://www.goodreads.com/search?q=Brooks+Max+World+War+Z,1
"2006_Campbell,Jack_TheLostFleet_SF.txt",FIC,English,SF,,2006,Campbell,Jack,Jack,Campbell,TheLostFleet,,,,,M,US,115415,31,0.4639575972,15.20619236,4.419698178,3.814513288,4717,-2.3351,0.1903,-2.5254,-3.002,3.96,29406,https://www.goodreads.com/search?q=Jack+Campbell+The+Lost+Fleet,0
"2006_Cole,Trevor_TheFearsomeParticles_PW.txt",FIC,English,PW,,2006,Cole,Trevor,Trevor,Cole,TheFearsomeParticles,,McClelland&Stewart,GovernorGeneralLiteraryAwardforfiction,Shortlist,M,Canada,111577,41,0.2309782609,17.3552652,4.161885932,3.704992117,5829,-2.2719,0.18959,-2.4614,-2.941,3.45,112,https://www.goodreads.com/search?q=Trevor+Cole+The+Fearsome+Particles,1
"2006_Dawkins,Richard_TheGodDelusion_NF.txt",NON,English,MIX,,2006,Dawkins,Richard,Richard,Dawkins,TheGodDelusion,,,,,M,,149731,90,0.266,24.43390992,4.70418297,5.014119398,1096,-2.1945,0.1175,-2.312,-2.7859,3.9,253145,https://www.goodreads.com/search?q=Richard+Dawkins+The+God+Delusion,1
"2006_Dennett,DanielC_BreakingtheSpell_NF.txt",NON,English,MIX,,2006,Dennett,DanielC,DanielC,Dennett,BreakingtheSpell,,,,,M,,130776,32,0.4012251149,30.25121443,4.76620336,5.464401221,287,-2.2885,0.12659,-2.4151,-2.8925,3.89,12047,https://www.goodreads.com/search?q=+Breakingthe+Spell,0.87
"2006_Ehrenreich,Barbara_DancingInTheStreets_NF.txt",NON,English,MIX,,2006,Ehrenreich,Barbara,Barbara,Ehrenreich,DancingintheStreets,,,,,F,,94942,37,0.1153846154,33.11545169,5.015550239,5.817523596,408,-2.3302,0.042989,-2.3732,-2.793,3.82,1122,https://www.goodreads.com/search?q=+Dancinginthe+Streets,0
"2006_Fisher,Karen_ASuddenCountry_PW.txt",FIC,English,PW,,2006,Fisher,Karen,Karen,Fisher,ASuddenCountry,,RandomHouse,PEN/FaulknerAwardforFiction,Shortlist,F,US,148406,62,0.1298514614,13.67923311,4.167077882,3.25499448,12278,-2.3454,0.21917,-2.5646,-3.1056,3.65,1220,https://www.goodreads.com/search?q=Karen+Fisher+A+Sudden+Country,0
"2006_Golden,Daniel_PriceofAdmission_NF.txt",NON,English,MIX,,2006,Golden,Daniel,Daniel,Golden,PriceofAdmission,,,,,M,,121547,131,0.064516129,24.68460601,4.894767086,5.071506827,1813,-2.261,0.11375,-2.3748,-2.876,3.63,841,https://www.goodreads.com/search?q=+Priceof+Admission,0
"2006_Grandin,Greg_EmpiresWorkshop_HIST.txt",NON,English,HIST,,2006,Grandin,Greg,Greg,Grandin,EmpiresWorkshop,,,,,M,US,84357,49,0.1599587203,37.01491882,5.250529468,6.306861254,529,-2.314,0.085751,-2.3998,-2.8471,4.04,1071,https://www.goodreads.com/search?q=Greg+Grandin+Empires+Workshop,0
"2006_Grenville,Kate_SecretRiver_PW.txt",FIC,English,PW,,2006,Grenville,Kate,Kate,Grenville,SecretRiver,French,CormorantBooks,ScotiabankGillerPrize,Shortlist,F,Canada,128212,45,0.2569569931,18.94385343,4.082570508,3.802261573,7855,-2.4515,0.14056,-2.592,-3.111,3.81,20074,https://www.goodreads.com/search?q=Kate+Grenville+Secret+River,0
"2006_Gruen,Sara_WaterforElephants_BS.txt",FIC,English,BS,,2006,Sara,Gruen,Gruen,Sara,WaterforElephants,,,,,F,Canada/US,131563,48,0.16580926,12.17612217,4.007008376,2.960292885,9796,-2.2311,0.28179,-2.5129,-3.0214,4.1,1499377,https://www.goodreads.com/search?q=+Waterfor+Elephants,1
"2006_Hage,Rawi_DeNirosGame_PW.txt",FIC,English,PW,,2006,Hage,Rawi,Rawi,Hage,DeNirosGame,,HouseofAnansiPress,ScotiabankGillerPrize,Shortlist,M,Canada,80431,35,0.2641025641,13.61621805,4.062520114,3.280844928,7130,-2.2299,0.22335,-2.4533,-2.9218,3.77,3580,https://www.goodreads.com/search?q=Rawi+Hage+De+Niros+Game,1
"2006_Jacobs,Kate_FridayNightKnitting_BS.txt",FIC,English,BS,,2006,Kate,Jacobs,Jacobs,Kate,FridayNightKnitting,,,,,F,US,148016,41,0.271517493,15.67800021,4.159751173,3.526447224,6544,-2.367,0.206,-2.573,-3.0918,3.43,73782,https://www.goodreads.com/search?q=Jacobs+Kate+Friday+Night+Knitting,0
"2006_Kalfus,Ken_DisorderPeculiar_PW.txt",FIC,English,PW,,2006,Kalfus,Ken,Ken,Kalfus,DisorderPeculiar,,HarperCollins,TheNationalBookAwards,Shortlist,M,US,88293,39,0.2888337469,15.91725257,4.475392726,3.888689136,4866,-2.2554,0.19704,-2.4525,-2.8952,3.05,1284,https://www.goodreads.com/search?q=Ken+Kalfus+Disorder+Peculiar,0
"2006_Kean,ThomasH_Hamilton,LeeH_WithoutPrecedent-TheInsideStory_NF.txt",NON,English,MIX,,2006,Kean,ThomasH,ThomasH,Kean,WithoutPrecendent,,,,,M,,161903,101,0.0504334121,26.05455423,4.877687686,5.221809551,3346,-2.2743,0.12666,-2.401,-2.9696,4.36,2018,https://www.goodreads.com/search?q=+Without+Precendent,0
"2006_Kuczynski,Alex_BeautyJunkies_NF.txt",NON,English,MIX,,2006,Kuczynski,Alex,Alex,Kuczynski,BeautyJunkies,,,,,F,,109813,48,0.1024464832,22.59061921,4.611981994,4.713869969,1799,-2.1226,0.16395,-2.2865,-2.7853,3.58,245,https://www.goodreads.com/search?q=Alex+Kuczynski+Beauty+Junkies,1
"2006_Lam,Vincent_BloodlettingandMiraculousCures_PW.txt",FIC,English,PW,,2006,Lam,Vincent,Vincent,Lam,BloodlettingandMiraculousCures,,Doubleday,ScotiabankGillerPrize,Winner,M,Canada,101841,50,0.146179402,13.79772389,4.257021715,3.404446455,5283,-2.1149,0.17446,-2.2894,-2.759,3.51,9143,https://www.goodreads.com/search?q=+Bloodlettingand+Miraculous+Cures,1
"2006_Larsson,Stieg_TheGirlWhoPlayedWithFire_BS.txt",FIC,English,BS,,2006,Stieg,Larsson,Larsson,Stieg,TheGirlWhoPlayedWithFire,Swedish,,,,M,Sweden,220859,95,0.1432917067,14.02902877,4.311592487,3.608245016,11143,-2.2075,0.25983,-2.4673,-3.1548,4.24,867220,https://www.goodreads.com/search?q=Larsson+Stieg+The+Girl+Who+Played+With+Fire,0
"2006_Lemov,Rebecca_WorldasLaboratory_NF.txt",NON,English,MIX,,2006,Lemov,Rebecca,Rebecca,Lemov,WorldasLaboratory,,,,,F,,97121,45,0.0995215311,31.90571616,5.004372535,5.757165812,641,-2.3388,0.097057,-2.4359,-2.8695,3.86,42,https://www.goodreads.com/search?q=+Worldas+Laboratory,0
"2006_Mansfield,HarveyC_Manliness_NF.txt",NON,English,MIX,,2006,Mansfield,HarveyC,HarveyC,Mansfield,Manliness,,,,,M,,121566,72,0.0777496839,25.79376194,4.633741332,5.155138225,245,-2.3721,0.082019,-2.4541,-2.9307,4.2,5516,https://www.goodreads.com/search?q=+Manliness,0
"2006_Matar,Hisham_CountryofMen_PW.txt",FIC,English,PW,,2006,Matar,Hisham,Hisham,Matar,CountryofMen,,Viking,TheManBookerPrize,Shortlist,M,US,84268,30,0.235942029,15.67776744,4.073363801,3.514238761,5718,-2.337,0.17027,-2.5072,-2.9729,3.71,6080,https://www.goodreads.com/search?q=+Countryof+Men,1
"2006_Michaels,WalterBenn_TheTroublewithDiversity_NF.txt",NON,English,MIX,,2006,Michaels,WalterBenn,WalterBenn,Michaels,TheTroublewithDiversity,,,,,M,,66749,43,0.0657370518,32.2770793,4.575022125,5.333989432,207,-2.2196,0.090981,-2.3106,-2.7149,3.61,478,https://www.goodreads.com/search?q=+The+Troublewith+Diversity,0
"2006_Obama,Barack_AudacityofHope_NF.txt",NON,English,MIX,,2006,Obama,Barack,Barack,Obama,AudacityofHope,,,,,M,,136360,51,0.121657754,30.91362503,4.722017149,5.376264824,1700,-2.1731,0.14194,-2.315,-2.8552,5,2,https://www.goodreads.com/search?q=+Audacityof+Hope,1
"2006_Perle,Liz_MoneyMemoir_NF.txt",NON,English,MIX,,2006,Perle,Liz,Liz,Perle,MoneyMemoir,,,,,F,,77677,36,0.0859728507,20.20733611,4.312661422,4.236853669,1280,-2.2445,0.25918,-2.5037,-2.9431,3.25,358,https://www.goodreads.com/search?q=Liz+Perle+Money+Memoir,1
"2006_Powers,Richard_EchoMaker_PW.txt",FIC,English,PW,,2006,Powers,Richard,Richard,Powers,EchoMaker,,"Farrar,Straus&Giroux",TheNationalBookAwards,Winner,M,US,208771,47,0.2859828142,11.77036703,4.331130286,3.260704884,9323,-2.2391,0.27088,-2.51,-3.1276,3.43,10029,https://www.goodreads.com/search?q=Richard+Powers+Echo+Maker,0
